sa_factor,tally_factor,d_useconds,d_mem
1,1,1.0,1.0
1,8,0.754246995585554,2.633148763286094
1,32,0.6841544167383635,3.334310944904834
1,128,0.5547603612372146,3.6133912872727185
1,512,0.2782573873547138,3.694575677556345
4,1,1.0116863040079653,1.238776032412195
4,8,0.7426526850583538,5.346968020762333
4,32,0.6745130063077455,9.331799756366781
4,128,0.5405353310771778,11.905222111984656
4,512,0.26939167648385803,12.834416561067973
16,1,0.9346486152133893,1.3246015916794855
16,8,0.6809088690193363,7.422944147316219
16,32,0.6108046325931238,18.22953893351961
16,128,0.48512306207192557,31.553395118682648
16,512,0.23984598554456826,39.045632558092734
64,1,0.7328883064131181,1.3480775146484838
64,8,0.5177666838883608,8.225675659946484
64,32,0.4581904407955498,23.97555597595427
64,128,0.35336725256681134,53.92162398866299
64,512,0.17102472287101075,80.22988183225763
256,1,0.4341852857047052,1.3539547725414842
256,8,0.29442979838455596,8.449474063353502
256,32,0.2562964417173877,25.98134896317787
256,128,0.18922378778755886,65.2509959000871
256,512,0.08735422525455747,108.17611327646007
