mem,p_len,sa_factor,t_len,tally_factor,time
554656,7,1,1483,1,0 days 00:00:00.000062000
554656,8,1,1483,1,0 days 00:00:00.000025000
554656,13,1,1483,1,0 days 00:00:00.000025000
435776,7,4,1483,1,0 days 00:00:00.000068000
435776,8,4,1483,1,0 days 00:00:00.000025000
435776,13,4,1483,1,0 days 00:00:00.000025000
404736,7,16,1483,1,0 days 00:00:00.000071000
404736,8,16,1483,1,0 days 00:00:00.000025000
404736,13,16,1483,1,0 days 00:00:00.000025000
396864,7,64,1483,1,0 days 00:00:00.000152000
396864,8,64,1483,1,0 days 00:00:00.000024000
396864,13,64,1483,1,0 days 00:00:00.000025000
394896,7,256,1483,1,0 days 00:00:00.000407000
394896,8,256,1483,1,0 days 00:00:00.000027000
394896,13,256,1483,1,0 days 00:00:00.000025000
222664,7,1,1483,8,0 days 00:00:00.000079000
222664,8,1,1483,8,0 days 00:00:00.000033000
222664,13,1,1483,8,0 days 00:00:00.000037000
103784,7,4,1483,8,0 days 00:00:00.000080000
103784,8,4,1483,8,0 days 00:00:00.000032000
103784,13,4,1483,8,0 days 00:00:00.000037000
72744,7,16,1483,8,0 days 00:00:00.000079000
72744,8,16,1483,8,0 days 00:00:00.000032000
72744,13,16,1483,8,0 days 00:00:00.000036000
64872,7,64,1483,8,0 days 00:00:00.000214000
64872,8,64,1483,8,0 days 00:00:00.000032000
64872,13,64,1483,8,0 days 00:00:00.000036000
62904,7,256,1483,8,0 days 00:00:00.000574000
62904,8,256,1483,8,0 days 00:00:00.000032000
62904,13,256,1483,8,0 days 00:00:00.000037000
179712,7,1,1483,32,0 days 00:00:00.000077000
179712,8,1,1483,32,0 days 00:00:00.000037000
179712,13,1,1483,32,0 days 00:00:00.000040000
60832,7,4,1483,32,0 days 00:00:00.000076000
60832,8,4,1483,32,0 days 00:00:00.000036000
60832,13,4,1483,32,0 days 00:00:00.000042000
29792,7,16,1483,32,0 days 00:00:00.000088000
29792,8,16,1483,32,0 days 00:00:00.000037000
29792,13,16,1483,32,0 days 00:00:00.000039000
21920,7,64,1483,32,0 days 00:00:00.000245000
21920,8,64,1483,32,0 days 00:00:00.000037000
21920,13,64,1483,32,0 days 00:00:00.000040000
19952,7,256,1483,32,0 days 00:00:00.000652000
19952,8,256,1483,32,0 days 00:00:00.000037000
19952,13,256,1483,32,0 days 00:00:00.000040000
167360,7,1,1483,128,0 days 00:00:00.000083000
167360,8,1,1483,128,0 days 00:00:00.000042000
167360,13,1,1483,128,0 days 00:00:00.000063000
48480,7,4,1483,128,0 days 00:00:00.000095000
48480,8,4,1483,128,0 days 00:00:00.000041000
48480,13,4,1483,128,0 days 00:00:00.000045000
17440,7,16,1483,128,0 days 00:00:00.000112000
17440,8,16,1483,128,0 days 00:00:00.000041000
17440,13,16,1483,128,0 days 00:00:00.000044000
9568,7,64,1483,128,0 days 00:00:00.000326000
9568,8,64,1483,128,0 days 00:00:00.000042000
9568,13,64,1483,128,0 days 00:00:00.000045000
7600,7,256,1483,128,0 days 00:00:00.000897000
7600,8,256,1483,128,0 days 00:00:00.000042000
7600,13,256,1483,128,0 days 00:00:00.000046000
163984,7,1,1483,512,0 days 00:00:00.000167000
163984,8,1,1483,512,0 days 00:00:00.000066000
163984,13,1,1483,512,0 days 00:00:00.000089000
45104,7,4,1483,512,0 days 00:00:00.000192000
45104,8,4,1483,512,0 days 00:00:00.000065000
45104,13,4,1483,512,0 days 00:00:00.000089000
14064,7,16,1483,512,0 days 00:00:00.000241000
14064,8,16,1483,512,0 days 00:00:00.000066000
14064,13,16,1483,512,0 days 00:00:00.000093000
6192,7,64,1483,512,0 days 00:00:00.000778000
6192,8,64,1483,512,0 days 00:00:00.000066000
6192,13,64,1483,512,0 days 00:00:00.000089000
4224,7,256,1483,512,0 days 00:00:00.002146000
4224,8,256,1483,512,0 days 00:00:00.000067000
4224,13,256,1483,512,0 days 00:00:00.000090000
554656,7,1,1483,1,0 days 00:00:00.000045000
554656,8,1,1483,1,0 days 00:00:00.000023000
554656,13,1,1483,1,0 days 00:00:00.000025000
435776,7,4,1483,1,0 days 00:00:00.000048000
435776,8,4,1483,1,0 days 00:00:00.000023000
435776,13,4,1483,1,0 days 00:00:00.000025000
404736,7,16,1483,1,0 days 00:00:00.000055000
404736,8,16,1483,1,0 days 00:00:00.000023000
404736,13,16,1483,1,0 days 00:00:00.000025000
396864,7,64,1483,1,0 days 00:00:00.000133000
396864,8,64,1483,1,0 days 00:00:00.000024000
396864,13,64,1483,1,0 days 00:00:00.000025000
394896,7,256,1483,1,0 days 00:00:00.000347000
394896,8,256,1483,1,0 days 00:00:00.000025000
394896,13,256,1483,1,0 days 00:00:00.000025000
222664,7,1,1483,8,0 days 00:00:00.000059000
222664,8,1,1483,8,0 days 00:00:00.000032000
222664,13,1,1483,8,0 days 00:00:00.000036000
103784,7,4,1483,8,0 days 00:00:00.000079000
103784,8,4,1483,8,0 days 00:00:00.000033000
103784,13,4,1483,8,0 days 00:00:00.000058000
72744,7,16,1483,8,0 days 00:00:00.000079000
72744,8,16,1483,8,0 days 00:00:00.000032000
72744,13,16,1483,8,0 days 00:00:00.000037000
64872,7,64,1483,8,0 days 00:00:00.000215000
64872,8,64,1483,8,0 days 00:00:00.000036000
64872,13,64,1483,8,0 days 00:00:00.000037000
62904,7,256,1483,8,0 days 00:00:00.000553000
62904,8,256,1483,8,0 days 00:00:00.000033000
62904,13,256,1483,8,0 days 00:00:00.000037000
179712,7,1,1483,32,0 days 00:00:00.000066000
179712,8,1,1483,32,0 days 00:00:00.000037000
179712,13,1,1483,32,0 days 00:00:00.000040000
60832,7,4,1483,32,0 days 00:00:00.000076000
60832,8,4,1483,32,0 days 00:00:00.000037000
60832,13,4,1483,32,0 days 00:00:00.000040000
29792,7,16,1483,32,0 days 00:00:00.000089000
29792,8,16,1483,32,0 days 00:00:00.000037000
29792,13,16,1483,32,0 days 00:00:00.000040000
21920,7,64,1483,32,0 days 00:00:00.000243000
21920,8,64,1483,32,0 days 00:00:00.000037000
21920,13,64,1483,32,0 days 00:00:00.000039000
